"expense_date","truck_number","category","amount","vendor","notes"
"2026-04-09","855","FUEL","250","BP",""
"2026-04-09","840","FUEL","1315","BP",""
"2026-04-09","853","FUEL","1090.85","BP",""
"2026-04-09","881","FUEL","599","BP",""
"2026-04-09","841","FUEL","470.15","BP",""
"2026-04-09","672","FUEL","498.51","BP",""
"2026-04-09","620","FUEL","600.01","BP",""
"2026-04-09","840","RENTAL","850","IAN",""
"2026-04-09","881","RENTAL","500","IAN",""
"2026-04-09","853","AYUUTO","625","HAMIDO","ZAKY'S AYUUTO"
"2026-04-09","841","AYUUTO","937.5","HAMIDO","RAMZI'S AYUUTO"
"2026-04-09","620","AYUUTO","312.5","HAMIDO","SUHEN'S AYUUTO"
"2026-04-02","853","TOLL","37.53","LINKT",""
"2026-04-02","881","TOLL","20","LINKT",""
"2026-04-02","620","TOLL","20","LINK",""
"2026-04-02","881","TOLL","37.53","LINKT",""
"2026-04-02","881","TOLL","10","LINKT",""
"2026-04-02","881","TOLL","37.53","LINKT",""
"2026-04-02","855","TOLL","37.53","LINKT",""
"2026-04-02","855","TOLL","37.53","LINKT",""
"2026-04-07","853","TOLL","37.53","LINKT",""
"2026-04-07","840","TOLL","37.53","LINKT",""
"2026-04-07","881","TOLL","37.53","LINKT",""
"2026-04-07","855","TOLL","37.53","LINKT",""
"2026-04-07","672","TOLL","20","LINKT",""
"2026-04-08","855","TOLL","37.53","LINKT",""
"2026-04-08","672","TOLL","20","LINKT",""
"2026-04-08","855","TOLL","37.53","LINKT",""
"2026-04-08","853","TOLL","37.53","LINKT",""
"2026-04-08","672","TOLL","37.53","LINKT",""
"2026-04-08","881","TOLL","37.53","LINKT",""
"2026-04-09","853","INSURANCE","75.51","QBE",""
"2026-04-09","855","INSURANCE","75.51","QBE",""
"2026-04-09","881","INSURANCE","75.51","QBE",""
"2026-04-09","840","INSURANCE","75.51","QBE",""
"2026-04-09","841","INSURANCE","75.51","QBE",""
"2026-04-09","672","INSURANCE","75.51","QBE",""
"2026-04-09","620","INSURANCE","75.51","QBE",""
"2026-04-10","620","FUEL","484.68","BP",""
"2026-04-10","672","FUEL","418.81","BP",""
"2026-04-10","881","FUEL","616.22","BP",""
"2026-04-09","855","FUEL","388.49","BP",""
"2026-04-11","881","Registration","1850.6","Vicroads",""
